hardware,gravity,ventilation_mode,nominal_residence_time_s,mean_age_of_air_s,max_age_of_air_s,air_exchange_efficiency_pct,short_circuit_ratio,aerosol_clearance_t50_s,biosecurity_containment_mode
Microgreen,1g,Baseline (Q=11.8 m3/h),0.71,6.85,18.4,10.4,0.18,14.2,Sealed enclosure (zero cabin export)
Microgreen,0g,Baseline (Q=11.8 m3/h),0.71,5.20,12.6,13.7,0.24,11.5,Sealed enclosure (zero cabin export)
VEGGIE,1g,Low Fan (Q=42.5 m3/h),3.19,14.20,48.5,22.5,0.42,28.6,Open exchange to ISS cabin (100% export)
VEGGIE,1g,High Fan (Q=85.0 m3/h),1.60,4.85,16.2,33.0,0.58,10.2,Open exchange to ISS cabin (100% export)
VEGGIE,0g,Low Fan (Q=42.5 m3/h),3.19,22.40,86.0,14.2,0.28,45.2,Open exchange to ISS cabin (100% export)
VEGGIE,0g,High Fan (Q=85.0 m3/h),1.60,6.10,22.4,26.2,0.48,13.8,Open exchange to ISS cabin (100% export)
APH,1g,Nominal (0.6 m/s),11.35,24.80,42.0,45.8,0.88,18.4,Closed loop with HEPA filtration (0% cabin export)
APH,0g,Nominal (0.6 m/s),11.35,25.20,43.5,45.0,0.86,18.9,Closed loop with HEPA filtration (0% cabin export)
APH,0g,Low (0.3 m/s),22.70,52.40,92.0,43.3,0.82,39.5,Closed loop with HEPA filtration (0% cabin export)
APH,0g,High (1.5 m/s),4.54,9.60,16.5,47.3,0.92,7.2,Closed loop with HEPA filtration (0% cabin export)
